Nombre,Grupo,Perfil,Habilitado,Acción,Invalidar,Programa,Dirección local,Dirección remota,Protocolo,Puerto local,Puerto remoto,Usuarios permitidos,Equipos permitidos,,,,,,,,,,,,,,,,
LabVIEW 13.0 Development System,,Privado,Sí,Permitir,No,C:\program files (x86)\national instruments\labview 2013\labview.exe,Cualquiera,Cualquiera,UDP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,,
MATLAB (R2015a),,Privado, Público,Sí,Permitir,No,C:\program files\matlab\matlab production server\r2015a\bin\win64\matlab.exe,Cualquiera,Cualquiera,TCP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,
MATLAB (R2015a),,Privado, Público,Sí,Permitir,No,C:\program files\matlab\matlab production server\r2015a\bin\win64\matlab.exe,Cualquiera,Cualquiera,UDP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,
MCT10 Set-up Software,,Todo,Sí,Permitir,No,C:\Program Files (x86)\Danfoss Drives\VLT Motion Control Tool\MCT 10 Set-up Software\MCT 10 Set-up Software.exe,Cualquiera,Cualquiera,Cualquiera,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,,
MCT10 Set-up Software,,Todo,Sí,Permitir,No,C:\Program Files (x86)\Danfoss Drives\VLT Motion Control Tool\MCT 10 Set-up Software\MCT 10 Set-up Software.exe,Cualquiera,Cualquiera,Cualquiera,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,,
Microsoft Office Outlook,,Privado,Sí,Permitir,No,C:\Program Files\Microsoft Office 15\root\Office15\outlook.exe,Cualquiera,Cualquiera,UDP,6004,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,,
Microsoft OneDrive,,Todo,Sí,Permitir,No,C:\Users\Carlos\AppData\Local\Microsoft\OneDrive\OneDrive.exe,Cualquiera,Cualquiera,Cualquiera,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,,
Microsoft SharePoint Workspace,,Privado,Sí,Permitir,No,C:\Program Files\Microsoft Office\Office14\GROOVE.EXE,Cualquiera,Cualquiera,TCP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,,
Microsoft Visual Studio 2019,,Privado, Público,Sí,Permitir,No,C:\program files (x86)\microsoft visual studio\2019\enterprise\common7\ide\devenv.exe,Cualquiera,Cualquiera,UDP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,
Microsoft Visual Studio 2019,,Privado, Público,Sí,Permitir,No,C:\program files (x86)\microsoft visual studio\2019\enterprise\common7\ide\devenv.exe,Cualquiera,Cualquiera,TCP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,
NI Application Web Server (64-bit),,Privado, Público,Sí,Permitir,No,C:\Program Files\National Instruments\Shared\NI WebServer\ApplicationWebServer.exe,Cualquiera,Cualquiera,UDP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,
NI Application Web Server (64-bit),,Privado, Público,Sí,Permitir,No,C:\Program Files\National Instruments\Shared\NI WebServer\ApplicationWebServer.exe,Cualquiera,Cualquiera,TCP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,
